Community,Genre,Presence (%),Increase (%),Status
2,Open-world video games,1.43,-71.38,--- Underrepresented ---
2,Tactical role-playing video games,0.57,-71.51,--- Underrepresented ---
2,Stealth video games,0.57,-71.65,--- Underrepresented ---
3,Social deduction video games,0.44,1413.93,+++ Overrepresented +++
3,Battle royale games,2.67,779.05,+++ Overrepresented +++
3,Roguelike video games,7.7,671.81,+++ Overrepresented +++
3,Sandbox games,0.59,505.57,+++ Overrepresented +++
3,Construction and management simulation games,1.19,426.58,+++ Overrepresented +++
3,Non-games,0.15,404.64,+++ Overrepresented +++
3,Survival video games,7.11,357.03,+++ Overrepresented +++
3,Vehicle-building video games,0.15,278.48,+++ Overrepresented +++
3,Pinball video games,0.89,236.43,+++ Overrepresented +++
3,Strategy video games,3.26,211.27,+++ Overrepresented +++
3,Neo-noir video games,0.89,139.04,+++ Overrepresented +++
3,Simulation video games,1.19,137.48,+++ Overrepresented +++
3,Shooter games,1.19,105.28,+++ Overrepresented +++
3,Music video games,2.81,101.15,+++ Overrepresented +++
3,Metroidvania games,2.67,100.37,+++ Overrepresented +++
3,Art games,1.04,96.25,+++ Overrepresented +++
3,Open-world video games,9.33,87.01,+++ Overrepresented +++
3,Puzzle video games,7.41,86.44,+++ Overrepresented +++
3,Action games,6.22,72.79,+++ Overrepresented +++
3,Hack and slash games,2.96,63.67,+++ Overrepresented +++
3,Beat 'em ups,1.33,58.43,+++ Overrepresented +++
3,Stealth video games,3.11,54.33,+++ Overrepresented +++
3,Platformers,9.33,39.03,+++ Overrepresented +++
3,Action-adventure games,6.07,-12.58,--- Underrepresented ---
3,Immersive sims,0.15,-49.54,--- Underrepresented ---
3,Fighting games,1.33,-61.4,--- Underrepresented ---
3,Racing video games,0.89,-70.12,--- Underrepresented ---
3,Tactical role-playing video games,0.59,-70.46,--- Underrepresented ---
4,Incremental games,0.5,623.9,+++ Overrepresented +++
4,Tactical role-playing video games,12.56,526.2,+++ Overrepresented +++
4,Role-playing video games,51.74,470.32,+++ Overrepresented +++
4,Mystery video games,0.99,305.38,+++ Overrepresented +++
4,Digital tabletop games,0.17,237.82,+++ Overrepresented +++
4,Roguelike video games,3.14,214.63,+++ Overrepresented +++
4,Simulation video games,0.83,65.6,+++ Overrepresented +++
4,Music video games,1.98,41.74,+++ Overrepresented +++
4,Open-world video games,4.3,-13.89,--- Underrepresented ---
4,Fighting games,2.64,-23.44,--- Underrepresented ---
4,Action-adventure games,5.29,-23.87,--- Underrepresented ---
4,Hack and slash games,1.16,-36.09,--- Underrepresented ---
4,Adventure games,2.98,-38.08,--- Underrepresented ---
4,Eroge,0.33,-40.73,--- Underrepresented ---
4,Metroidvania games,0.66,-50.32,--- Underrepresented ---
4,Horror video games,0.17,-57.77,--- Underrepresented ---
4,Action games,1.49,-58.69,--- Underrepresented ---
4,Party video games,0.33,-59.3,--- Underrepresented ---
4,Beat 'em ups,0.33,-60.72,--- Underrepresented ---
4,Platformers,2.48,-63.07,--- Underrepresented ---
4,Art games,0.17,-68.72,--- Underrepresented ---
4,Racing video games,0.83,-72.22,--- Underrepresented ---
4,Puzzle video games,0.66,-83.36,--- Underrepresented ---
4,Strategy video games,0.17,-84.21,--- Underrepresented ---
4,Stealth video games,0.17,-91.8,--- Underrepresented ---
5,Fighting games,47.94,1287.73,+++ Overrepresented +++
5,Martial arts video games,5.89,1238.44,+++ Overrepresented +++
5,Sports video games,0.79,630.06,+++ Overrepresented +++
5,Beat 'em ups,3.93,366.9,+++ Overrepresented +++
5,Digital tabletop games,0.2,301.53,+++ Overrepresented +++
5,Educational video games,0.2,186.81,+++ Overrepresented +++
5,Soulslike video games,0.59,100.77,+++ Overrepresented +++
5,Hack and slash games,3.54,95.34,+++ Overrepresented +++
5,Action games,6.48,80.03,+++ Overrepresented +++
5,Platformers,11.39,69.74,+++ Overrepresented +++
5,Psychological horror games,0.98,37.51,+++ Overrepresented +++
5,Puzzle video games,2.55,-35.72,--- Underrepresented ---
5,Action-adventure games,4.32,-37.79,--- Underrepresented ---
5,Interactive movie video games,0.39,-45.0,--- Underrepresented ---
5,Horror video games,0.2,-49.81,--- Underrepresented ---
5,Party video games,0.39,-51.62,--- Underrepresented ---
5,Tactical role-playing video games,0.79,-60.83,--- Underrepresented ---
5,Stealth video games,0.79,-61.02,--- Underrepresented ---
5,Eroge,0.2,-64.78,--- Underrepresented ---
5,Role-playing video games,2.55,-71.85,--- Underrepresented ---
5,Music video games,0.39,-71.92,--- Underrepresented ---
5,Racing video games,0.79,-73.58,--- Underrepresented ---
5,Open-world video games,1.18,-76.38,--- Underrepresented ---
5,Adventure games,0.98,-79.56,--- Underrepresented ---
5,Survival video games,0.2,-87.37,--- Underrepresented ---
6,Quiz video games,0.38,1190.28,+++ Overrepresented +++
6,Metroidvania games,8.71,554.63,+++ Overrepresented +++
6,Horror video games,1.89,383.85,+++ Overrepresented +++
6,Platformers,29.17,334.48,+++ Overrepresented +++
6,Beat 'em ups,3.41,305.09,+++ Overrepresented +++
6,Music video games,4.17,197.76,+++ Overrepresented +++
6,Action games,10.61,194.52,+++ Overrepresented +++
6,Hack and slash games,4.92,172.0,+++ Overrepresented +++
6,Soulslike video games,0.76,158.06,+++ Overrepresented +++
6,Puzzle video games,8.33,109.75,+++ Overrepresented +++
6,Eroge,1.14,103.73,+++ Overrepresented +++
6,Fighting games,5.3,53.52,+++ Overrepresented +++
6,Action-adventure games,5.68,-18.22,--- Underrepresented ---
6,Role-playing video games,6.82,-24.84,--- Underrepresented ---
6,Racing video games,1.89,-36.33,--- Underrepresented ---
6,Adventure games,2.65,-44.82,--- Underrepresented ---
6,Roguelike video games,0.38,-62.05,--- Underrepresented ---
6,Open-world video games,1.52,-69.64,--- Underrepresented ---
6,Tactical role-playing video games,0.38,-81.12,--- Underrepresented ---
7,Typing video games,1.16,1874.69,+++ Overrepresented +++
7,Racing video games,19.71,562.56,+++ Overrepresented +++
7,Pinball video games,1.74,558.23,+++ Overrepresented +++
7,Educational video games,0.29,323.15,+++ Overrepresented +++
7,Platformers,22.61,236.79,+++ Overrepresented +++
7,Sports video games,0.29,169.28,+++ Overrepresented +++
7,Party video games,1.45,78.44,+++ Overrepresented +++
7,Music video games,2.32,65.71,+++ Overrepresented +++
7,Interactive movie video games,1.16,62.3,+++ Overrepresented +++
7,Action games,5.51,52.93,+++ Overrepresented +++
7,Open-world video games,7.54,51.01,+++ Overrepresented +++
7,Action-adventure games,9.86,41.84,+++ Overrepresented +++
7,Puzzle video games,5.51,38.62,+++ Overrepresented +++
7,Role-playing video games,7.54,-16.92,--- Underrepresented ---
7,Shooter games,0.29,-49.8,--- Underrepresented ---
7,Metroidvania games,0.58,-56.44,--- Underrepresented ---
7,Adventure games,2.03,-57.77,--- Underrepresented ---
7,Psychological horror games,0.29,-59.42,--- Underrepresented ---
7,Roguelike video games,0.29,-70.96,--- Underrepresented ---
7,Stealth video games,0.58,-71.24,--- Underrepresented ---
7,Survival video games,0.29,-81.37,--- Underrepresented ---
8,Aviation video games,0.51,5061.11,+++ Overrepresented +++
8,Vehicle-building video games,1.01,2480.56,+++ Overrepresented +++
8,Strategy video games,21.21,1925.86,+++ Overrepresented +++
8,Construction and management simulation games,3.54,1470.77,+++ Overrepresented +++
8,Simulation video games,5.56,1013.18,+++ Overrepresented +++
8,Pinball video games,1.52,473.46,+++ Overrepresented +++
8,Soulslike video games,1.52,416.11,+++ Overrepresented +++
8,Mystery video games,1.01,312.89,+++ Overrepresented +++
8,Tactical role-playing video games,7.07,252.47,+++ Overrepresented +++
8,Shooter games,1.52,162.43,+++ Overrepresented +++
8,Art games,1.01,91.15,+++ Overrepresented +++
8,Role-playing video games,15.15,67.03,+++ Overrepresented +++
8,Battle royale games,0.51,66.49,+++ Overrepresented +++
8,Puzzle video games,6.06,52.55,+++ Overrepresented +++
8,Roguelike video games,1.52,51.8,+++ Overrepresented +++
8,Open-world video games,6.57,31.56,+++ Overrepresented +++
8,Action games,3.03,-15.85,--- Underrepresented ---
8,Action-adventure games,5.56,-20.04,--- Underrepresented ---
8,Platformers,2.02,-69.91,--- Underrepresented ---
9,Horror video games,3.23,724.11,+++ Overrepresented +++
9,Interactive movie video games,4.15,480.59,+++ Overrepresented +++
9,Survival horror video games,0.92,395.71,+++ Overrepresented +++
9,Sports video games,0.46,328.11,+++ Overrepresented +++
9,Shooter games,2.3,299.09,+++ Overrepresented +++
9,Psychological horror games,2.3,222.55,+++ Overrepresented +++
9,Action games,10.6,194.33,+++ Overrepresented +++
9,Simulation video games,1.38,177.01,+++ Overrepresented +++
9,Racing video games,6.91,132.36,+++ Overrepresented +++
9,Action-adventure games,15.67,125.51,+++ Overrepresented +++
9,Martial arts video games,0.92,109.3,+++ Overrepresented +++
9,Stealth video games,3.69,82.88,+++ Overrepresented +++
9,Strategy video games,1.84,76.05,+++ Overrepresented +++
9,Beat 'em ups,1.38,64.27,+++ Overrepresented +++
9,Hack and slash games,2.76,52.73,+++ Overrepresented +++
9,Survival video games,2.3,48.09,+++ Overrepresented +++
9,Role-playing video games,12.9,42.24,+++ Overrepresented +++
9,Platformers,7.83,16.7,+++ Overrepresented +++
9,Metroidvania games,0.92,-30.75,--- Underrepresented ---
9,Adventure games,3.23,-32.86,--- Underrepresented ---
9,Fighting games,2.3,-33.3,--- Underrepresented ---
9,Party video games,0.46,-43.26,--- Underrepresented ---
9,Tactical role-playing video games,0.46,-77.03,--- Underrepresented ---
10,Adventure games,57.49,1096.6,+++ Overrepresented +++
10,Interactive movie video games,3.93,450.31,+++ Overrepresented +++
10,Digital tabletop games,0.25,402.16,+++ Overrepresented +++
10,Psychological horror games,3.44,381.53,+++ Overrepresented +++
10,Neo-noir video games,1.47,296.44,+++ Overrepresented +++
10,Art games,1.97,271.97,+++ Overrepresented +++
10,Educational video games,0.25,258.69,+++ Overrepresented +++
10,Survival video games,3.93,152.66,+++ Overrepresented +++
10,Sports video games,0.25,128.26,+++ Overrepresented +++
10,Mystery video games,0.49,100.86,+++ Overrepresented +++
10,Immersive sims,0.49,67.39,+++ Overrepresented +++
10,Puzzle video games,5.9,48.42,+++ Overrepresented +++
10,Stealth video games,2.46,21.88,+++ Overrepresented +++
10,Strategy video games,0.74,-29.6,--- Underrepresented ---
10,Action-adventure games,3.69,-46.95,--- Underrepresented ---
10,Simulation video games,0.25,-50.77,--- Underrepresented ---
10,Shooter games,0.25,-57.44,--- Underrepresented ---
10,Role-playing video games,3.69,-59.37,--- Underrepresented ---
10,Platformers,2.46,-63.4,--- Underrepresented ---
10,Music video games,0.49,-64.88,--- Underrepresented ---
10,Party video games,0.25,-69.75,--- Underrepresented ---
10,Open-world video games,1.47,-70.46,--- Underrepresented ---
10,Hack and slash games,0.49,-72.86,--- Underrepresented ---
10,Action games,0.74,-79.53,--- Underrepresented ---
10,Metroidvania games,0.25,-81.54,--- Underrepresented ---
10,Racing video games,0.49,-83.48,--- Underrepresented ---
10,Tactical role-playing video games,0.25,-87.75,--- Underrepresented ---
10,Fighting games,0.25,-92.89,--- Underrepresented ---
11,Role-playing video games,50.24,453.81,+++ Overrepresented +++
11,Simulation video games,2.14,329.37,+++ Overrepresented +++
11,Incremental games,0.24,247.59,+++ Overrepresented +++
11,Construction and management simulation games,0.71,217.36,+++ Overrepresented +++
11,Tactical role-playing video games,6.19,208.59,+++ Overrepresented +++
11,Sandbox games,0.24,143.31,+++ Overrepresented +++
11,Open-world video games,12.14,143.31,+++ Overrepresented +++
11,Strategy video games,1.9,81.91,+++ Overrepresented +++
11,Immersive sims,0.48,62.21,+++ Overrepresented +++
11,Adventure games,5.71,18.93,+++ Overrepresented +++
11,Action-adventure games,5.71,-17.75,--- Underrepresented ---
11,Metroidvania games,0.95,-28.44,--- Underrepresented ---
11,Martial arts video games,0.24,-45.93,--- Underrepresented ---
11,Stealth video games,0.95,-52.76,--- Underrepresented ---
11,Platformers,3.1,-53.89,--- Underrepresented ---
11,Hack and slash games,0.71,-60.54,--- Underrepresented ---
11,Psychological horror games,0.24,-66.67,--- Underrepresented ---
11,Puzzle video games,1.19,-70.04,--- Underrepresented ---
11,Beat 'em ups,0.24,-71.71,--- Underrepresented ---
11,Racing video games,0.48,-83.99,--- Underrepresented ---
11,Fighting games,0.24,-93.11,--- Underrepresented ---
11,Action games,0.24,-93.39,--- Underrepresented ---
12,Non-games,0.59,1903.73,+++ Overrepresented +++
12,Digital tabletop games,0.59,1102.24,+++ Overrepresented +++
12,Typing video games,0.59,901.86,+++ Overrepresented +++
12,Educational video games,0.59,758.74,+++ Overrepresented +++
12,Metroidvania games,9.41,607.2,+++ Overrepresented +++
12,Platformers,43.53,548.44,+++ Overrepresented +++
12,Action games,12.35,243.03,+++ Overrepresented +++
12,Strategy video games,3.53,237.08,+++ Overrepresented +++
12,Tactical role-playing video games,4.12,105.26,+++ Overrepresented +++
12,Hack and slash games,2.35,29.97,+++ Overrepresented +++
12,Role-playing video games,7.65,-15.7,--- Underrepresented ---
12,Puzzle video games,2.94,-25.97,--- Underrepresented ---
12,Fighting games,1.76,-48.91,--- Underrepresented ---
12,Racing video games,1.18,-60.45,--- Underrepresented ---
12,Stealth video games,0.59,-70.82,--- Underrepresented ---
12,Adventure games,0.59,-87.76,--- Underrepresented ---
12,Open-world video games,0.59,-88.21,--- Underrepresented ---
13,Eroge,35.51,6265.76,+++ Overrepresented +++
13,Typing video games,0.72,1134.18,+++ Overrepresented +++
13,Construction and management simulation games,2.17,865.88,+++ Overrepresented +++
13,Music video games,6.52,366.05,+++ Overrepresented +++
13,Hack and slash games,7.25,300.27,+++ Overrepresented +++
13,Tactical role-playing video games,6.52,225.1,+++ Overrepresented +++
13,Mystery video games,0.72,196.2,+++ Overrepresented +++
13,Beat 'em ups,2.17,158.32,+++ Overrepresented +++
13,Shooter games,1.45,151.02,+++ Overrepresented +++
13,Fighting games,5.8,67.82,+++ Overrepresented +++
13,Role-playing video games,13.04,43.79,+++ Overrepresented +++
13,Survival video games,0.72,-53.43,--- Underrepresented ---
13,Open-world video games,2.17,-56.44,--- Underrepresented ---
13,Platformers,2.9,-56.82,--- Underrepresented ---
13,Puzzle video games,1.45,-63.52,--- Underrepresented ---
13,Stealth video games,0.72,-64.05,--- Underrepresented ---
13,Action-adventure games,0.72,-89.57,--- Underrepresented ---
14,Racing video games,45.24,1420.68,+++ Overrepresented +++
14,Open-world video games,29.76,496.35,+++ Overrepresented +++
14,Martial arts video games,1.19,170.34,+++ Overrepresented +++
14,Simulation video games,1.19,138.54,+++ Overrepresented +++
14,Metroidvania games,2.38,78.9,+++ Overrepresented +++
14,Beat 'em ups,1.19,41.46,+++ Overrepresented +++
14,Action-adventure games,4.76,-31.46,--- Underrepresented ---
14,Hack and slash games,1.19,-34.24,--- Underrepresented ---
14,Role-playing video games,5.95,-34.38,--- Underrepresented ---
14,Action games,1.19,-66.94,--- Underrepresented ---
15,Incremental games,3.75,5374.46,+++ Overrepresented +++
15,Interactive movie video games,10.0,1299.86,+++ Overrepresented +++
15,Puzzle video games,36.25,812.41,+++ Overrepresented +++
15,Strategy video games,6.25,496.9,+++ Overrepresented +++
15,Simulation video games,2.5,400.93,+++ Overrepresented +++
15,Shooter games,2.5,333.01,+++ Overrepresented +++
15,Art games,1.25,136.55,+++ Overrepresented +++
15,Music video games,2.5,78.65,+++ Overrepresented +++
15,Action games,6.25,73.56,+++ Overrepresented +++
15,Role-playing video games,15.0,65.36,+++ Overrepresented +++
15,Open-world video games,7.5,50.28,+++ Overrepresented +++
15,Hack and slash games,2.5,38.09,+++ Overrepresented +++
15,Adventure games,1.25,-73.98,--- Underrepresented ---
15,Action-adventure games,1.25,-82.01,--- Underrepresented ---
16,Music video games,55.32,3853.19,+++ Overrepresented +++
16,Puzzle video games,14.89,274.87,+++ Overrepresented +++
16,Racing video games,8.51,186.09,+++ Overrepresented +++
16,Party video games,2.13,161.96,+++ Overrepresented +++
16,Fighting games,4.26,23.19,+++ Overrepresented +++
16,Open-world video games,4.26,-14.74,--- Underrepresented ---
16,Adventure games,2.13,-55.72,--- Underrepresented ---
16,Role-playing video games,2.13,-76.55,--- Underrepresented ---
17,Non-games,0.27,823.13,+++ Overrepresented +++
17,Music video games,8.94,539.09,+++ Overrepresented +++
17,Sandbox games,0.54,453.88,+++ Overrepresented +++
17,Party video games,2.71,233.66,+++ Overrepresented +++
17,Tactical role-playing video games,5.96,197.2,+++ Overrepresented +++
17,Action games,9.49,163.39,+++ Overrepresented +++
17,Puzzle video games,10.03,152.38,+++ Overrepresented +++
17,Sports video games,0.27,151.76,+++ Overrepresented +++
17,Action-adventure games,16.8,141.83,+++ Overrepresented +++
17,Hack and slash games,3.79,109.57,+++ Overrepresented +++
17,Horror video games,0.81,107.7,+++ Overrepresented +++
17,Beat 'em ups,1.63,93.21,+++ Overrepresented +++
17,Open-world video games,6.5,30.32,+++ Overrepresented +++
17,Role-playing video games,7.59,-16.35,--- Underrepresented ---
17,Stealth video games,1.63,-19.34,--- Underrepresented ---
17,Fighting games,2.71,-21.55,--- Underrepresented ---
17,Simulation video games,0.27,-45.7,--- Underrepresented ---
17,Strategy video games,0.54,-48.24,--- Underrepresented ---
17,Art games,0.27,-48.72,--- Underrepresented ---
17,Eroge,0.27,-51.41,--- Underrepresented ---
17,Shooter games,0.27,-53.06,--- Underrepresented ---
17,Roguelike video games,0.27,-72.85,--- Underrepresented ---
